Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C17,100nF,603,33.8,-53.4001,-90,top
C18,100nF,603,32.6,-33.3,90,top
C19,100nF,603,33.5,-36.4,-90,top
C20,100nF,603,34.2,-33.3,90,top
C21,100nF,603,35,-36.4,-90,top
C22,100nF,603,35.8,-33.3,-90,top
C23,100nF,603,36.5,-36.4,-90,top
C24,100nF,603,37.4,-33.3,90,top
C25,100nF,603,38,-36.4,90,top
C26,100nF,603,39,-33.3,-90,top
C27,100nF,603,39.5,-36.4,-90,top
C73,0.1uF,603,42.3,-72.1,90,top
J1,MXM3.0,FOXCONN_AS0B826-S55B-7H,72.5,-45.4,180,top
R1,220nF,603,71.2,-60.1001,-90,top
R2,220nF,603,74.5,-56.7,-90,top
R3,220nF,603,72.6,-60.2001,-90,top
R4,220nF,603,73,-56.7,-90,top
R5,220nF,603,78.3,-56.4,-90,top
R6,220nF,603,76.8,-56.3,-90,top
R7,220nF,603,77,-60.3,-90,top
R8,220nF,603,75.4,-60.1,-90,top
R9,220nF,603,85.3,-56.0001,-90,top
R10,220nF,603,83.7,-56.0001,-90,top
R11,220nF,603,81.4,-56.5,-90,top
R12,220nF,603,80,-56.5,-90,top
R13,220nF,603,86.9,-60.1,-90,top
R14,220nF,603,85.4,-60.2001,-90,top
R15,220nF,603,87.4,-56.4001,-90,top
R16,220nF,603,88.8,-56.3999,-90,top
R17,0,603,70.4,-56.6,-90,top
R18,0,603,68.8,-56.5,-90,top
R19,0,603,65.9,-54.1,-90,top
R20,0,603,64.5,-54.3001,-90,top
R21,0,603,68.8,-53.0999,-90,top
R22,0,603,67.4,-53.6999,-90,top
R23,0,603,68.4,-60.3999,-90,top
R24,0,603,66.9,-60.2,-90,top
R25,0,603,71.9,-53.1,-90,top
R26,0,603,70.4,-53.2,-90,top
R27,0,603,75,-52.9,-90,top
R28,0,603,73.5,-52.9,-90,top
R29,0,603,77.8,-52.3001,-90,top
R30,0,603,76.3,-52.7,-90,top
R31,0,603,90.1,-60.1,-90,top
R32,0,603,91.7,-59.9,-90,top
R33,0,603,98.3,-38,90,top
R34,0,603,60,-56.3001,-90,top
R35,0,603,61.5,-56.3001,-90,top
R36,0,603,82.8,-59.8001,-90,top
R37,0,603,81.3,-59.8001,-90,top
R49,10K,603,44.8,-68.6,90,top
R50,4.7K,603,45.7,-73.6001,90,top
R51,4.7K,603,47.2,-72.6,90,top
R52,100K,603,43.3,-68.6001,-90,top
R53,10K/0,603,28.1,-37.9,0,top
R54,10K,603,105.1,-55.9,90,top
R55,0,603,94.8,-56,-90,top
R56,0,603,93.3,-56.0001,-90,top
R57,330K,603,93.3,-79,180,top
R58,330K,603,45.7001,-79.8,0,top
R59,0,603,98.6,-56,-90,top
R60,0,603,97.9,-59.3,-90,top
R61,0,603,97.2,-56,-90,top
R62,0,603,99.5,-59.3,-90,top
R63,0,603,101.6,-59.3,-90,top
R64,0,603,100.8,-56,-90,top
U54,BR24G32FVT-3GE2,SOP65P640X120-8N,38.62,-75.8,0,top
